"Raw materials, fuel, supplies, components, estimated values at end of month","Unadjusted  (x 1,000)","28,889,731","29,032,891","28,992,863","28,490,391","28,340,759","28,228,237","28,774,977","28,716,165","28,773,825","28,352,768","28,177,298","28,657,303","29,435,539","30,332,884","30,659,700","30,784,763","30,853,919","30,713,092","30,807,931","30,947,581","31,056,587","31,186,210","31,328,593","31,519,165","31,975,954","32,753,653","32,708,150","32,955,960","32,924,443","32,911,272","33,512,574","34,051,316","33,894,203","34,243,084","33,748,437","33,920,291","34,761,988","34,735,802","34,755,949","35,319,568","35,475,129","34,901,078","35,175,103","35,221,417"
,"Seasonally adjusted  (x 1,000)","28,644,451","28,537,393","28,509,059","28,381,123","28,551,612","28,549,498","28,939,200","28,861,895","28,876,575","28,505,995","28,341,128","28,729,276","29,226,017","29,907,873","30,209,227","30,674,994","31,036,303","30,995,149","30,953,897","31,056,143","31,114,416","31,353,388","31,507,672","31,590,885","31,767,616","32,320,335","32,270,490","32,821,182","33,094,940","33,187,961","33,685,135","34,159,029","33,944,294","34,420,817","33,925,920","34,001,618","34,596,851","34,332,628","34,348,536","35,130,661","35,563,288","35,160,006","35,316,639","35,359,258"
"Goods or work in process, estimated values at end of month","Unadjusted  (x 1,000)","19,987,568","19,815,753","19,123,704","19,123,781","19,382,925","18,606,873","18,823,939","18,793,585","18,711,483","19,191,066","19,118,240","17,482,956","18,363,697","18,843,308","18,883,083","19,535,116","19,605,160","18,813,191","18,991,731","19,325,762","18,959,622","19,574,114","20,169,936","18,974,153","19,967,267","20,705,753","20,516,108","21,514,625","22,139,595","21,785,851","21,978,184","22,526,363","22,328,971","23,191,566","23,034,330","21,855,973","22,692,025","23,301,879","23,516,488","24,221,642","24,548,192","23,931,233","24,301,481","24,815,512"
,"Seasonally adjusted  (x 1,000)","20,036,544","19,509,829","19,301,191","18,919,592","18,941,402","18,871,706","18,849,655","18,666,467","18,871,634","19,008,457","18,770,769","18,414,627","18,451,791","18,586,509","19,048,163","19,320,351","19,150,759","19,040,859","19,046,159","19,234,802","19,090,241","19,366,717","19,807,031","19,895,491","20,089,554","20,490,589","20,634,886","21,235,273","21,627,016","22,005,150","22,070,760","22,470,316","22,465,718","22,945,537","22,693,358","22,816,429","22,874,832","23,148,832","23,693,726","23,901,917","24,011,631","24,181,586","24,332,002","24,639,853"
"Finished goods manufactured, estimated values at end of  month","Unadjusted  (x 1,000)","22,897,661","23,099,949","22,852,117","23,163,796","23,100,503","23,095,441","23,478,311","23,381,005","23,138,243","23,587,640","23,915,548","23,244,424","24,147,252","24,855,867","25,224,854","25,654,819","25,500,020","25,375,544","25,398,035","25,017,017","24,414,200","24,850,816","25,317,983","25,049,335","25,798,801","26,410,070","26,975,233","27,603,124","26,958,805","26,758,269","26,945,987","26,872,241","27,153,847","27,096,081","27,276,024","26,915,992","27,978,183","28,762,767","29,471,125","30,287,767","30,248,517","29,028,469","28,832,637","28,638,081"
,"Seasonally adjusted  (x 1,000)","23,090,433","22,905,462","22,542,222","22,562,747","22,645,546","22,802,240","23,414,567","23,405,862","23,463,076","24,007,629","24,177,764","23,937,091","24,301,418","24,655,193","24,795,315","24,995,987","25,030,247","25,114,990","25,311,670","25,090,345","24,759,141","25,313,615","25,646,346","25,791,474","25,934,712","26,153,284","26,447,665","26,805,656","26,487,321","26,479,011","26,867,839","27,003,968","27,530,637","27,666,372","27,698,590","27,689,419","28,128,950","28,502,854","28,881,448","29,311,643","29,669,013","28,715,444","28,769,695","28,821,286"
"Total inventory, estimated values of total inventory at end of the month","Unadjusted  (x 1,000)","71,774,960","71,948,593","70,968,684","70,777,968","70,824,188","69,930,551","71,077,227","70,890,755","70,623,551","71,131,474","71,211,086","69,384,683","71,946,487","74,032,059","74,767,638","75,974,698","75,959,099","74,901,827","75,197,697","75,290,360","74,430,409","75,611,139","76,816,513","75,542,653","77,742,022","79,869,476","80,199,490","82,073,710","82,022,842","81,455,391","82,436,745","83,449,920","83,377,021","84,530,732","84,058,790","82,692,256","85,432,197","86,800,447","87,743,561","89,828,978","90,271,838","87,860,781","88,309,221","88,675,009"
,"Seasonally adjusted  (x 1,000)","71,771,427","70,952,685","70,352,472","69,863,462","70,138,560","70,223,444","71,203,423","70,934,225","71,211,285","71,522,081","71,289,661","71,080,994","71,979,226","73,149,575","74,052,704","74,991,332","75,217,309","75,150,999","75,311,726","75,381,290","74,963,799","76,033,720","76,961,049","77,277,850","77,791,882","78,964,208","79,353,041","80,862,111","81,209,278","81,672,123","82,623,733","83,633,312","83,940,648","85,032,726","84,317,868","84,507,466","85,600,633","85,984,314","86,923,710","88,344,220","89,243,933","88,057,037","88,418,337","88,820,396"
"","","Ratio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ratio of total inventory to sales","Unadjusted","1.50","1.51","1.36","1.43","1.36","1.30","1.50","1.33","1.32","1.37","1.32","1.36","1.44","1.51","1.31","1.47","1.30","1.30","1.51","1.34","1.35","1.37","1.33","1.45","1.49","1.56","1.37","1.49","1.34","1.34","1.47","1.38","1.44","1.39","1.43","1.57","1.58","1.69","1.47","1.56","1.42","1.48","1.58","1.51"
,"Seasonally adjusted","1.37","1.42","1.42","1.39","1.41","1.39","1.40","1.38","1.38","1.39","1.37","1.33","1.34","1.36","1.38","1.38","1.37","1.40","1.43","1.40","1.39","1.41","1.38","1.38","1.42","1.40","1.40","1.44","1.42","1.41","1.42","1.45","1.44","1.46","1.48","1.50","1.51","1.52","1.49","1.53","1.52","1.52","1.55","1.54"
"Ratio of finished goods to sales","Unadjusted","0.48","0.49","0.44","0.47","0.44","0.43","0.49","0.44","0.43","0.46","0.44","0.46","0.48","0.51","0.44","0.50","0.44","0.44","0.51","0.45","0.44","0.45","0.44","0.48","0.49","0.52","0.46","0.50","0.44","0.44","0.48","0.45","0.47","0.45","0.46","0.51","0.52","0.56","0.50","0.53","0.48","0.49","0.52","0.49"
,"Seasonally adjusted","0.44","0.46","0.46","0.45","0.45","0.45","0.46","0.46","0.46","0.47","0.46","0.45","0.45","0.46","0.46","0.46","0.46","0.47","0.48","0.47","0.46","0.47","0.46","0.46","0.47","0.46","0.47","0.48","0.46","0.46","0.46","0.47","0.47","0.47","0.49","0.49","0.50","0.50","0.50","0.51","0.51","0.50","0.50","0.50"


Footnotes:
1,"All data up to December 2003 are calibrated to levels from the Annual Survey of Manufactures and Logging (ASML). Starting in January 2004, the data are reconciled with the ASML, but the aggregate industry estimates may be different."
2,"Beginning with reference year 2009, the data are classified by industry based on the North American Industry Classification System (NAICS) 2012."
3,"With the release on May 16, 2019, the Monthly Survey of Manufacturing (MSM) has published revised estimates. Estimates of sales of goods manufactured, inventories and orders have been revised back to January 2013 for the unadjusted data, and back to January 2011 for the seasonally adjusted data."

"How to cite: Statistics Canada. Table 16-10-0047-01 Manufacturers' sales, inventories, orders and inventory to sales ratios, by industry (dollars unless otherwise noted)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004701
DOI: https://doi.org/10.25318/1610004701-eng
